XCoord,YCoord,FID,OBJECTID,ED_ID,PD_NUMBER,PD_LABEL,ED_NAME_EN,ED_NAME_FR,SHAPE_LENG,SHAPE_AREA
1117240.57056249,5300487.68979326,107,37967,18.000000,709.000000,709,Chatham-Kent—Leamington,Chatham-Kent—Leamington,258.211411,3189.113340
1151909.64684472,5341011.56328690,108,37968,18.000000,39.000000,039,Chatham-Kent—Leamington,Chatham-Kent—Leamington,9427.112735,2590709.636000
1148795.58207512,5341752.30425171,109,37969,18.000000,717.000000,717,Chatham-Kent—Leamington,Chatham-Kent—Leamington,447.206121,12228.772247
1116234.34959629,5301353.23440526,110,37970,18.000000,702.000000,702,Chatham-Kent—Leamington,Chatham-Kent—Leamington,165.467826,1710.372020
1149097.26391290,5340927.92871373,111,37971,18.000000,720.000000,720,Chatham-Kent—Leamington,Chatham-Kent—Leamington,593.611773,17833.910725
1121542.04934606,5320365.06739003,112,37972,18.000000,2.000000,002,Chatham-Kent—Leamington,Chatham-Kent—Leamington,59638.032582,130596014.251000
1120032.20522612,5329689.06005197,113,37973,18.000000,710.000000,710,Chatham-Kent—Leamington,Chatham-Kent—Leamington,211.750028,2734.029079
1157138.51733167,5329835.02445327,114,37974,18.000000,45.000000,045,Chatham-Kent—Leamington,Chatham-Kent—Leamington,59207.465114,141654842.597000
1148179.83538607,5344521.79848759,115,37975,18.000000,26.000000,026,Chatham-Kent—Leamington,Chatham-Kent—Leamington,1889.819137,173765.174231
1151229.03817732,5342318.15486268,116,37976,18.000000,35.000000,035,Chatham-Kent—Leamington,Chatham-Kent—Leamington,12404.445452,3385511.195010
1149062.73655146,5341592.31686257,117,37977,18.000000,29.000000,029,Chatham-Kent—Leamington,Chatham-Kent—Leamington,7628.486492,872275.279194
1132757.09608186,5311578.29565546,118,37978,18.000000,13.000000,013,Chatham-Kent—Leamington,Chatham-Kent—Leamington,81172.611051,243526677.540000
1148408.49207950,5343422.46565551,119,37979,18.000000,28.000000,028,Chatham-Kent—Leamington,Chatham-Kent—Leamington,4756.918422,1060887.504060
1128449.58821005,5325035.95541508,120,37980,18.000000,11.000000,011,Chatham-Kent—Leamington,Chatham-Kent—Leamington,44425.258677,31584060.220800
1182481.11986380,5352958.33334118,121,37981,18.000000,55.000000,055,Chatham-Kent—Leamington,Chatham-Kent—Leamington,79963.905488,246119551.550000
1170185.76354527,5325757.35656698,122,37982,18.000000,48.000000,048,Chatham-Kent—Leamington,Chatham-Kent—Leamington,17022.996307,10945750.900100
1147918.94988949,5340100.68881122,123,37983,18.000000,33.000000,033,Chatham-Kent—Leamington,Chatham-Kent—Leamington,9422.122023,2559548.746540
1158334.18486084,5347922.82861204,124,37984,18.000000,43.000000,043,Chatham-Kent—Leamington,Chatham-Kent—Leamington,33237.666261,37304273.663700
1174520.95923481,5360316.94826395,125,37985,18.000000,54.000000,054,Chatham-Kent—Leamington,Chatham-Kent—Leamington,16933.962734,12984137.858900
1147302.37848232,5337050.07398629,126,37986,18.000000,36.000000,036,Chatham-Kent—Leamington,Chatham-Kent—Leamington,29093.211590,31748744.724700
1148229.22561828,5342598.72791323,127,37987,18.000000,403.000000,403,Chatham-Kent—Leamington,Chatham-Kent—Leamington,413.114294,10547.646137
1122701.59897594,5328156.00124645,128,37988,18.000000,1.000000,001,Chatham-Kent—Leamington,Chatham-Kent—Leamington,40748.932089,61660836.422500
1165614.32541493,5333376.80776995,129,37989,18.000000,47.000000,047,Chatham-Kent—Leamington,Chatham-Kent—Leamington,4254.688487,1040372.797000
1116752.38928591,5298827.62991968,130,37990,18.000000,400.000000,400,Chatham-Kent—Leamington,Chatham-Kent—Leamington,522.994753,12376.005018
1115958.70199133,5301370.81858296,131,37991,18.000000,700.000000,700,Chatham-Kent—Leamington,Chatham-Kent—Leamington,206.938535,1873.520960
1165686.10131244,5327417.93874026,132,37992,18.000000,49.000000,049,Chatham-Kent—Leamington,Chatham-Kent—Leamington,16518.505589,16093773.595100
1148836.41128774,5344587.04908059,133,37993,18.000000,27.000000,027,Chatham-Kent—Leamington,Chatham-Kent—Leamington,9917.046283,2563266.340250
